Station Name,Province,Latitude,Longitude
(AE) BOW SUMMIT,ALBERTA,51.7,-116.47
100 MILE HOUSE,BRITISH COLUMBIA,51.65,-121.3
100 MILE HOUSE,BRITISH COLUMBIA,51.65,-121.27
100 MILE HOUSE 6NE,BRITISH COLUMBIA,51.68,-121.22
108 MILE HOUSE,BRITISH COLUMBIA,51.75,-121.33
108 MILE HOUSE ABEL LAKE,BRITISH COLUMBIA,51.62,-121.26
108 MILE HOUSE WATSON LAKE,BRITISH COLUMBIA,51.7,-121.33
150 MILE HOUSE,BRITISH COLUMBIA,52.12,-121.93
150 MILE HOUSE 7N,BRITISH COLUMBIA,52.22,-122
26 MILE DEPOT,NEWFOUNDLAND,48.42,-57.07
70 MILE HOUSE,BRITISH COLUMBIA,51.3,-121.4
ABBEY,SASKATCHEWAN,50.7,-108.78
ABBOTSFORD,BRITISH COLUMBIA,49.02,-122.33
ABBOTSFORD A,BRITISH COLUMBIA,49.03,-122.36
ABBOTSFORD A,BRITISH COLUMBIA,49.03,-122.36
ABBOTSFORD A,BRITISH COLUMBIA,49.03,-122.36
ABBOTSFORD EAST,BRITISH COLUMBIA,49.03,-122.25
ABBOTSFORD KING ROAD,BRITISH COLUMBIA,49.03,-122.3
ABBOTSFORD UPPER SUMAS,BRITISH COLUMBIA,49.05,-122.27
ABEE AGDM,ALBERTA,54.28,-112.97
ABERCORN,QUEBEC,45.03,-72.67
ABERCROMBIE POINT,NOVA SCOTIA,45.65,-62.72
ABERDEEN,SASKATCHEWAN,52.4,-106.17
ABERFELDIE,BRITISH COLUMBIA,49.5,-115.37
ABITIBI CAMP 11,ONTARIO,48.85,-89.12
ABITIBI CAMP 11,ONTARIO,48.93,-89.35
ABITIBI CAMP 228,ONTARIO,48.93,-89.25
ABITIBI CAMP 230,ONTARIO,49.35,-89.37
ABITIBI CAMP 300,ONTARIO,49.63,-89.75
ABITIBI CANYON,ONTARIO,49.88,-81.57
ABITIBI POST,QUEBEC,48.72,-79.37
ACADIA FOREST EXP ST,NEW BRUNSWICK,45.99,-66.36
ACADIA VALLEY,ALBERTA,51.18,-110.23
ACADIA VALLEY,ALBERTA,51.07,-110.32
ACADIA VALLEY CDA EPF,ALBERTA,51.07,-110.13
ACADIA VALLEY EXP ST,ALBERTA,51.08,-110.28
ACADIA VALLEY MACTAVISH,ALBERTA,51.2,-110.17
ACADIA VALLEY VANDYNE,ALBERTA,51.03,-110.3
ACADIEVILLE,NEW BRUNSWICK,46.73,-65.28
ACME CDA EPF,ALBERTA,51.5,-113.42
ACTIVE PASS,BRITISH COLUMBIA,48.87,-123.28
ACTON BEARDMORE,ONTARIO,43.63,-80.03
ACTON MONITOR STN,ONTARIO,43.65,-80.05
ACTON VALE,QUEBEC,45.65,-72.57
ADAIR LO,ALBERTA,59.17,-118.33
ADAMS CREEK LO,ALBERTA,53.72,-118.57
ADAMS LAKE SKWAAM BAY,BRITISH COLUMBIA,51.08,-119.8
ADDENBROKE ISLAND,BRITISH COLUMBIA,51.6,-127.86
ADEN,ALBERTA,49.05,-111.32
ADRA,BRITISH COLUMBIA,49.73,-119.58
AGASSIZ CDA,BRITISH COLUMBIA,49.24,-121.76
AGASSIZ MOUNTAIN INSTITUTE,BRITISH COLUMBIA,49.27,-121.83
AGASSIZ RCS,BRITISH COLUMBIA,49.24,-121.76
AGNEW MINE,ONTARIO,46.43,-81.62
AGUASABON,ONTARIO,48.78,-87.17
AIGREMONT,QUEBEC,49.3,-73.85
AILSA CRAIG,ONTARIO,43.15,-81.53
AIRDRIE,ALBERTA,51.32,-113.88
AISHIHIK A,YUKON TERRITORY,61.65,-137.48
AIYANSH,BRITISH COLUMBIA,55.23,-129.02
AIYANSH 2SE,BRITISH COLUMBIA,55.18,-129.05
AKAMINA PASS,ALBERTA,49.03,-114.05
AKLAVIK A,NORTHWEST TERRITORIES,68.22,-135.01
AKLAVIK A,NORTHWEST TERRITORIES,68.22,-135.01
AKLAVIK RADIOSONDE,NORTHWEST TERRITORIES,68.23,-135
AKULIVIK A,QUEBEC,60.82,-78.15
ALAMEDA CDA EPF,SASKATCHEWAN,49.25,-102.28
ALBANEL,QUEBEC,48.88,-72.45
ALBANY,PRINCE EDWARD ISLAND,46.27,-63.58
ALBERNI BEAVER CREEK,BRITISH COLUMBIA,49.37,-124.93
ALBERNI CITY RESERVOIR,BRITISH COLUMBIA,49.27,-124.78
ALBERNI LUPSI CUPSI,BRITISH COLUMBIA,49.25,-124.82
ALBERNI MCCOY LAKE,BRITISH COLUMBIA,49.28,-124.88
ALBERNI ROBERTSON CREEK,BRITISH COLUMBIA,49.34,-124.98
ALBERT HALL AGCM,ALBERTA,53.11,-111.18
ALBERT HEAD,BRITISH COLUMBIA,48.4,-123.48
ALBERTON,PRINCE EDWARD ISLAND,46.85,-64.02
ALBERTON,ONTARIO,43.18,-80.05
ALBERTON SNOW,PRINCE EDWARD ISLAND,46.81,-64.06
ALBERTVILLE,QUEBEC,48.3,-67.35
ALBION,ONTARIO,43.93,-79.83
ALBION FIELD CENTRE,ONTARIO,43.92,-79.83
ALBREDA,BRITISH COLUMBIA,52.67,-119.2
ALDER FLATS LO,ALBERTA,52.8,-114.82
ALDERGROVE,BRITISH COLUMBIA,49.12,-122.48
ALDERGROVE 2,BRITISH COLUMBIA,49.03,-122.48
ALDERGROVE 48 AVENUE,BRITISH COLUMBIA,49.08,-122.52
ALDERGROVE CENTRE,BRITISH COLUMBIA,49.05,-122.47
ALDERSHOT,ONTARIO,43.32,-79.87
ALERT,NUNAVUT,82.52,-62.28
ALERT BAY,BRITISH COLUMBIA,50.58,-126.93
ALERT CLIMATE,NUNAVUT,82.5,-62.33
ALERT UA,NUNAVUT,82.5,-62.33
ALEXANDER,MANITOBA,49.83,-100.3
ALEXANDRIA,ONTARIO,45.32,-74.61
ALEXIS CREEK,BRITISH COLUMBIA,52.13,-123.33
ALEXIS CREEK,BRITISH COLUMBIA,52.1,-123.62
ALEXIS CREEK,BRITISH COLUMBIA,52.08,-123.28
ALEXIS CREEK TAUTRI CRK,BRITISH COLUMBIA,52.55,-123.18
ALEZA LAKE,BRITISH COLUMBIA,54.12,-122.07
ALFRED,ONTARIO,45.56,-74.88
ALFRED,ONTARIO,45.55,-74.88
ALFRED AUTOMATIC CLIMATE STATION,ONTARIO,45.55,-74.88
ALGAR LO,ALBERTA,56.12,-111.78
ALGONQUIN PARK,ONTARIO,45.58,-78.55
ALGONQUIN PARK EAST,ONTARIO,45.53,-78.27
ALGONQUIN PARK EAST GATE,ONTARIO,45.53,-78.27
ALGONQUIN PARK WEST,ONTARIO,45.33,-78.85
ALICE ARM,BRITISH COLUMBIA,55.47,-129.47
ALICE ARM,BRITISH COLUMBIA,55.68,-129.5
ALIDA,SASKATCHEWAN,49.45,-101.8
ALIX,ALBERTA,52.37,-113.3
ALIX,ALBERTA,52.38,-113.17
ALKALI LAKE,BRITISH COLUMBIA,51.78,-122.28
ALLAN PARK,ONTARIO,44.17,-80.93
ALLIANCE,ALBERTA,52.43,-111.78
ALLIANCE AGCM,ALBERTA,52.32,-111.78
ALLIANCE GREENVIEW,ALBERTA,52.38,-111.8
ALLIANCE SOUTH,ALBERTA,52.42,-111.78
ALLISON PASS,BRITISH COLUMBIA,49.13,-120.83
ALLISON PASS DOH,BRITISH COLUMBIA,49.12,-120.87
ALLISTON,PRINCE EDWARD ISLAND,46.07,-62.6
ALLISTON,ONTARIO,44.15,-79.85
ALLISTON NELSON,ONTARIO,44.15,-79.87
ALLISTON SNOW,PRINCE EDWARD ISLAND,46.07,-62.6
ALLOA,ONTARIO,43.72,-79.87
ALMA,NEW BRUNSWICK,45.6,-64.95
ALMASIPPI,MANITOBA,49.55,-98.2
ALMONTE,ONTARIO,45.18,-76.23
ALONSA,MANITOBA,50.83,-99.05
ALOUETTE LAKE,BRITISH COLUMBIA,49.28,-122.48
ALOUETTE POWER HOUSE,BRITISH COLUMBIA,49.37,-122.32
ALSASK,SASKATCHEWAN,51.38,-110
ALSASK,SASKATCHEWAN,51.42,-109.9
ALSASK,ALBERTA,51.38,-110.03
ALSASK HARDENE,SASKATCHEWAN,51.33,-109.85
ALTA LAKE,BRITISH COLUMBIA,50.15,-122.95
ALTA LAKE 2,BRITISH COLUMBIA,50.15,-122.98
ALTA LAKE NORTHAIR MINE,BRITISH COLUMBIA,50.12,-123.1
ALTAWAN,ALBERTA,49.25,-110.01
ALTON,ONTARIO,43.85,-80.08
ALTONA,MANITOBA,49.1,-97.55
ALTONA CFAM,MANITOBA,49.1,-97.55
ALTONA SOUTH,MANITOBA,49.05,-97.57
ALVINSTON,ONTARIO,42.87,-81.88
AMARANTH,MANITOBA,50.63,-98.72
AMBER LO,ALBERTA,59.18,-119.45
AMHERST (AUT),NOVA SCOTIA,45.85,-64.27
AMHERST ISLAND CDA EPF,QUEBEC,47.22,-61.97
AMHERSTBURG,ONTARIO,42.1,-83.09
AMISK,ALBERTA,52.68,-111.12
AMOS,QUEBEC,48.57,-78.13
AMPHITRITE POINT,BRITISH COLUMBIA,48.92,-125.53
AMPHITRITE POINT,BRITISH COLUMBIA,48.92,-125.54
AMQUI,QUEBEC,48.52,-67.45
AMQUI,QUEBEC,48.47,-67.43
AMULET,SASKATCHEWAN,49.62,-104.73
AMYOT LAKE,SASKATCHEWAN,53.7,-106.68
ANAHIM LAKE,BRITISH COLUMBIA,52.47,-125.32
ANAHIM LAKE,BRITISH COLUMBIA,52.35,-125.33
ANAHIM LAKE 5 MILE RANCH,BRITISH COLUMBIA,52.53,-125.07
ANDREW,ALBERTA,54.02,-112.23
ANDREW AGDM,ALBERTA,53.92,-112.28
ANEROID,SASKATCHEWAN,49.72,-107.3
ANGERS,QUEBEC,45.55,-75.55
ANGLIA,SASKATCHEWAN,51.57,-108.17
ANGUS,ONTARIO,44.32,-79.87
ANGUS CAMPHILL,ONTARIO,44.28,-79.85
ANGUS TOWER,NORTHWEST TERRITORIES,60.35,-114.28
ANNACIS ISLAND,BRITISH COLUMBIA,49.18,-122.93
ANNAPOLIS ROYAL,NOVA SCOTIA,44.75,-65.52
ANNIE LAKE ROBINSON,YUKON TERRITORY,60.47,-134.83
ANOLA,MANITOBA,49.88,-96.65
ANSE AU GRIFFON,QUEBEC,48.93,-64.28
ANSELL LO,ALBERTA,53.55,-116.5
ANSELMO,ALBERTA,53.97,-115.42
ANTHRACITE,ALBERTA,51.2,-115.5
ANTICOSTI HEATH POINT,QUEBEC,49.1,-61.7
ANTICOSTI SW POINT,QUEBEC,49.4,-63.55
ANTICOSTI WEST POINT,QUEBEC,49.87,-64.53
ANTIGONISH,NOVA SCOTIA,45.63,-61.97
ANTIGONISH,NOVA SCOTIA,45.62,-61.98
ANTIGONISH SNOW,NOVA SCOTIA,45.62,-61.9
ANTLER HILL,ALBERTA,52.05,-113.85
ANVIL,YUKON TERRITORY,62.37,-133.38
ANVIL ISLAND,BRITISH COLUMBIA,49.52,-123.3
ANYOX,BRITISH COLUMBIA,55.42,-129.82
ANZAC,ALBERTA,56.45,-111.03
ANZAC,ALBERTA,56.45,-111.05
APEX MTN LODGE,BRITISH COLUMBIA,49.4,-119.92
APPLE HILL,ONTARIO,45.22,-74.75
APPLETON,ONTARIO,45.19,-76.11
APPS MILL,ONTARIO,43.13,-80.38
APRIL BROOK IHD,NOVA SCOTIA,46.23,-61.13
APSLEY,ONTARIO,44.77,-78.08
ARAWANA,BRITISH COLUMBIA,49.58,-119.57
ARBORG,MANITOBA,50.93,-97.08
ARCHERWILL,SASKATCHEWAN,52.43,-104.02
ARCOLA CDA EPF,SASKATCHEWAN,49.63,-102.53
ARCTIC BAY,NUNAVUT,73.01,-85.05
ARCTIC BAY,NUNAVUT,73.03,-85.15
ARCTIC BAY CS,NUNAVUT,72.99,-85.01
ARCTIC RED RIVER,NORTHWEST TERRITORIES,67.45,-133.73
ARDEN,ONTARIO,44.7,-76.95
ARDENVILLE,ALBERTA,49.53,-113.43
ARGENTA,BRITISH COLUMBIA,50.17,-116.93
ARGENTIA (AUT),NEWFOUNDLAND,47.29,-53.99
ARGENTIA A,NEWFOUNDLAND,47.3,-54
ARGENTIA A,NEWFOUNDLAND,47.3,-54
ARGYLE HEAD,NOVA SCOTIA,43.83,-65.87
ARGYLE SHORE,PRINCE EDWARD ISLAND,46.17,-63.35
ARKONA,ONTARIO,43.03,-81.92
ARMADA EXP ST,ALBERTA,50.4,-112.68
ARMAGH,QUEBEC,46.75,-70.53
ARMAGH STATION,QUEBEC,46.72,-70.62
ARMENA,ALBERTA,53.13,-112.95
ARMIT,SASKATCHEWAN,52.83,-101.78
ARMSTRONG,BRITISH COLUMBIA,50.45,-119.18
ARMSTRONG,ONTARIO,50.28,-89.15
ARMSTRONG (AUT),ONTARIO,50.3,-89.03
ARMSTRONG (AUT),ONTARIO,50.29,-88.91
ARMSTRONG A,ONTARIO,50.29,-88.91
ARMSTRONG GRANDVIEW,BRITISH COLUMBIA,50.4,-119.28
ARMSTRONG HULLCAR,BRITISH COLUMBIA,50.5,-119.22
ARMSTRONG JELLIEN,ONTARIO,50.25,-89.1
ARMSTRONG NORTH,BRITISH COLUMBIA,50.47,-119.13
ARMSTRONG OTTER LAKE,BRITISH COLUMBIA,50.4,-119.25
ARNESON,ALBERTA,51.23,-110.05
ARNOLDS COVE,NEWFOUNDLAND,47.75,-54
ARNPRIOR,ONTARIO,45.43,-76.38
ARNPRIOR GRANDON,ONTARIO,45.42,-76.37
AROOSTOOK,NEW BRUNSWICK,46.71,-67.72
ARRAN,SASKATCHEWAN,51.97,-101.73
ARRAN 23N,SASKATCHEWAN,52.2,-101.63
ARRAS,BRITISH COLUMBIA,55.73,-120.53
ARROW RIVER,MANITOBA,50.17,-100.85
ARROWWOOD,ALBERTA,50.73,-113.15
ARTHABASKA,QUEBEC,46.02,-71.95
ARTHUR,ONTARIO,43.82,-80.57
ARTHURETTE BIRCH RIDGE,NEW BRUNSWICK,46.75,-67.47
ARTLAND,SASKATCHEWAN,52.78,-109.9
ARUNDEL,QUEBEC,45.95,-74.62
ARVIAT A,NUNAVUT,61.1,-94.07
ARVIAT A,NUNAVUT,61.09,-94.07
ARVIAT AWOS,NUNAVUT,61.1,-94.07
ARVIAT CLIMATE,NUNAVUT,61.1,-94.07
ARVIDA,QUEBEC,48.43,-71.17
ASBESTOS,QUEBEC,45.77,-71.95
ASBESTOS HILL,QUEBEC,61.8,-73.95
ASH RIVER,BRITISH COLUMBIA,49.47,-125.08
ASH RIVER GENERATING STN,BRITISH COLUMBIA,49.37,-125.15
ASHCROFT,BRITISH COLUMBIA,50.71,-121.28
ASHCROFT,BRITISH COLUMBIA,50.73,-121.27
ASHCROFT,BRITISH COLUMBIA,50.72,-121.28
ASHCROFT M,BRITISH COLUMBIA,50.72,-121.33
ASHCROFT NORTH,BRITISH COLUMBIA,50.73,-121.27
ASHCROFT VENABLES VLY,BRITISH COLUMBIA,50.55,-121.33
ASHDALE,NOVA SCOTIA,45,-63.88
ASHERN,MANITOBA,51.13,-98.37
ASHERN NORTHWEST,MANITOBA,51.2,-98.38
ASHTON,ONTARIO,45.2,-75.97
ASHTON HILL,NEW BRUNSWICK,47.1,-65.73
ASHTON STN SESIA FARM,ONTARIO,45.17,-76.07
ASHUANIPI,NEWFOUNDLAND,52.53,-66.23
ASHVILLE,MANITOBA,51.28,-100.28
ASQUITH,SASKATCHEWAN,52.13,-107.23
ASSINIBOIA,SASKATCHEWAN,49.73,-105.97
ASSINIBOIA AIRPORT,SASKATCHEWAN,49.73,-105.95
ASSUMPTION,ALBERTA,58.7,-118.68
ASSUMPTION,ALBERTA,58.7,-118.72
ATHABASCA,ALBERTA,54.72,-113.28
ATHABASCA 1,ALBERTA,54.72,-113.29
ATHABASCA 2,ALBERTA,54.82,-113.54
ATHABASCA 3,ALBERTA,54.72,-113.28
ATHABASCA AGCM,ALBERTA,54.63,-113.38
ATHABASCA EXP ST,ALBERTA,54.7,-113.38
ATHABASCA LANDING,ALBERTA,54.72,-113.28
ATHABASCA LO,ALBERTA,53.42,-117.78
ATHENS,ONTARIO,44.65,-75.92
ATIKAMEG,ALBERTA,55.9,-115.65
ATIKOKAN,ONTARIO,48.75,-91.62
ATIKOKAN (AUT),ONTARIO,48.76,-91.63
ATIKOKAN CLI,ONTARIO,48.73,-91.63
ATIKOKAN MARMION,ONTARIO,48.8,-91.58
ATKINSON POINT,NORTHWEST TERRITORIES,69.93,-131.4
ATLEE,ALBERTA,50.82,-110.95
ATLEE AGCM,ALBERTA,50.81,-111.01
ATLIN,BRITISH COLUMBIA,59.57,-133.7
ATMORE,ALBERTA,54.82,-112.55
ATMORE AGDM,ALBERTA,54.78,-112.83
ATNARKO PARKS CAMP,BRITISH COLUMBIA,52.42,-125.92
ATTAWAPISKAT,ONTARIO,52.92,-82.45
ATTAWAPISKAT A,ONTARIO,52.93,-82.43
ATWATER,SASKATCHEWAN,50.82,-102.22
AUDET,QUEBEC,45.65,-70.73
AUPALUK A,QUEBEC,59.3,-69.6
AURORA,ONTARIO,43.95,-79.4
AURORA LO,ALBERTA,52.65,-115.72
AURORA MOE,ONTARIO,44.02,-79.47
AURORA NE,ONTARIO,44.02,-79.45
AURORA PAYMENT,ONTARIO,43.98,-79.47
AUSTIN,MANITOBA,49.9,-98.98
AUTEUIL,QUEBEC,45.65,-73.73
AVOLA,BRITISH COLUMBIA,51.78,-119.33
AVON,NOVA SCOTIA,44.88,-64.22
AVONDALE,NOVA SCOTIA,45.02,-64.12
AVONDALE CDA,NEWFOUNDLAND,47.42,-53.23
AVONLEA EXP ST,SASKATCHEWAN,50.02,-105.05
AVONMORE,ONTARIO,45.17,-74.97
AYLESBURY,SASKATCHEWAN,50.93,-105.7
AYLESBURY CDA EPF,SASKATCHEWAN,51,-105.67
AYLESFORD,NOVA SCOTIA,45.03,-64.87
AYLMER,ONTARIO,42.77,-80.98
AYLMER,ONTARIO,42.77,-80.98
AYLMER 2,ONTARIO,42.77,-81
AYLMER ONT HYDRO,ONTARIO,42.78,-80.98
AYLSHAM,SASKATCHEWAN,53.2,-103.8
AYR,ONTARIO,43.28,-80.45
AYTON,ONTARIO,44.08,-80.83
AZURE,ALBERTA,50.51,-114.01
BABINE LAKE FISHERIES,BRITISH COLUMBIA,55.07,-126.53
BABINE LAKE HALIFAX BAY,BRITISH COLUMBIA,55.05,-126.48
BABINE LAKE PINKUT CREEK,BRITISH COLUMBIA,54.45,-125.46
BACCARO,NOVA SCOTIA,43.47,-65.47
BACCARO POINT,NOVA SCOTIA,43.45,-65.47
BACCARO PT,NOVA SCOTIA,43.45,-65.47
BACHELORS ISLAND MARINE,MANITOBA,51.75,-99.9
BACK RIVER (AUT),NUNAVUT,66.09,-96.51
BAD LAKE IHD 102,SASKATCHEWAN,51.32,-108.42
BADDECK,NOVA SCOTIA,46.1,-60.75
BADDECK BELL,NOVA SCOTIA,46.1,-60.75
BADGER,NEWFOUNDLAND,48.98,-56.05
BADGER (AUT),NEWFOUNDLAND,48.97,-56.07
BADGER C,NEWFOUNDLAND,48.97,-56.05
BAGOTVILLE A,QUEBEC,48.33,-71
BAIE COMEAU,QUEBEC,49.23,-68.18
BAIE COMEAU CBA,QUEBEC,49.22,-68.15
BAIE DES SABLES,QUEBEC,48.7,-67.83
BAIE JOHAN BEETZ,QUEBEC,50.28,-62.8
BAIE ST PAUL,QUEBEC,47.42,-70.5
BAIE VERTE,NEWFOUNDLAND,49.98,-56.18
BAIE VERTE JUNCTION,NEWFOUNDLAND,49.45,-56.43
BAIE WAKEHAM,QUEBEC,61.6,-71.97
BAIE-COMEAU,QUEBEC,49.26,-68.15
BAIE-COMEAU,QUEBEC,49.13,-68.2
BAIE-COMEAU A,QUEBEC,49.13,-68.2
BAIE-COMEAU A,QUEBEC,49.13,-68.2
BAIRD LAKE,ALBERTA,54.35,-114.43
BAKER LAKE A,NUNAVUT,64.3,-96.08
BAKER LAKE A,NUNAVUT,64.3,-96.08
BAKER LAKE A,NUNAVUT,64.3,-96.08
BAKER LAKE CLIMATE,NUNAVUT,64.32,-96
BAKER MINE,BRITISH COLUMBIA,57.2,-126.95
BALA,ONTARIO,45,-79.5
BALACLAVA,ONTARIO,44.67,-80.78
BALCARRES,SASKATCHEWAN,50.78,-103.62
BALD MOUNTAIN LO,ALBERTA,54.82,-118.92
BALDONNEL,BRITISH COLUMBIA,56.23,-120.68
BALDUR,MANITOBA,49.28,-99.29
BALDUR 5 NORTHEAST,MANITOBA,49.42,-99.17
BALDWIN,ONTARIO,44.27,-79.32
BALDY HUGHES,BRITISH COLUMBIA,53.62,-122.95
BALDY LO,ALBERTA,52.55,-116.12
BALLANTRAE,ONTARIO,44.05,-79.3
BALLATER,ALBERTA,55.58,-117.21
BALLATER AGCM,ALBERTA,55.58,-117.24
BALLENAS ISLAND,BRITISH COLUMBIA,49.35,-124.16
BALM,ALBERTA,53.92,-115.25
BALTIMORE,NEW BRUNSWICK,45.88,-64.82
BAMBERTON OCEAN CEMENT,BRITISH COLUMBIA,48.58,-123.52
BAMFIELD,BRITISH COLUMBIA,48.83,-125.1
BAMFIELD EAST,BRITISH COLUMBIA,48.83,-125.12
BAMFIELD WEST,BRITISH COLUMBIA,48.83,-125.15
BANANA BELT,ALBERTA,55.2,-116.42
BANCROFT,ONTARIO,45.05,-77.85
BANCROFT AUTO,ONTARIO,45.07,-77.88
BANCROFT L'AMABLE,ONTARIO,45,-77.8
BANCROFT OMNR,ONTARIO,45.05,-77.87
BANFF,ALBERTA,51.18,-115.57
BANFF (AUT),ALBERTA,51.18,-115.57
BANFF CR10,ALBERTA,51.2,-115.55
BANFF CS,ALBERTA,51.19,-115.55
BANFF SPRINGS,ALBERTA,51.17,-115.55
BANGOR,PRINCE EDWARD ISLAND,46.35,-62.68
BANGOR,SASKATCHEWAN,50.9,-102.28
BANKEIR,BRITISH COLUMBIA,49.72,-120.23
BANKIER CHAIN LAKE,BRITISH COLUMBIA,49.7,-120.28
BAPTISTE LAKE,ALBERTA,54.73,-113.53
BAR RIVER,ONTARIO,46.43,-84.05
BARCLAY,ONTARIO,49.83,-92.82
BARK LAKE,QUEBEC,46.5,-75.33
BARK LAKE DAM,ONTARIO,45.42,-77.8
BARKERVILLE,BRITISH COLUMBIA,53.07,-121.51
BARNSTON,QUEBEC,45.08,-71.88
BARNWELL AGDM,ALBERTA,49.8,-112.3
BARONS AGCM,ALBERTA,50.03,-113.22
BARONS EXP ST,ALBERTA,50.03,-113.17
BARONS EXP ST 2,ALBERTA,50,-112.92
BARRAGE A LAC KEMPT,QUEBEC,47.55,-74.18
BARRAGE ANGLIERS,QUEBEC,47.55,-79.24
BARRAGE CABONGA,QUEBEC,47.32,-76.47
BARRAGE CICONCINE,QUEBEC,47.38,-73.03
BARRAGE GOUIN,QUEBEC,48.35,-74.1
BARRAGE GOUIN S,QUEBEC,48.35,-74.1
BARRAGE LAC MORIN,QUEBEC,47.65,-69.52
BARRAGE MATTAWIN,QUEBEC,46.85,-73.65
BARRAGE MERCIER,QUEBEC,46.72,-75.98
BARRAGE MISTIGOUGECHE,QUEBEC,48.18,-68.02
